date,doctor_id,count
2021-07-01,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-07-05,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-07-06,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-07-07,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-07-08,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-07-09,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-07-12,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-07-13,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-07-14,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,2
2021-07-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-07-15,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-07-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-07-19,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-07-20,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-07-21,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-07-22,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-07-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-07-26,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-07-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-07-28,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-07-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-07-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-08-02,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-08-03,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-08-04,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,2
2021-08-05,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-08-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-08-10,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-08-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-08-12,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-08-13,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-08-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-08-17,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-08-18,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-08-19,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-08-20,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-08-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-08-24,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-08-25,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-08-26,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2021-08-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,12
2021-08-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,13
2021-08-31,9740afb3-f206-4f48-9a2c-cd97d6111cd6,8
2021-09-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-09-02,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-09-03,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-09-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-09-07,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-09-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-09-09,9740afb3-f206-4f48-9a2c-cd97d6111cd6,8
2021-09-10,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-09-13,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-09-14,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-09-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-09-16,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-09-17,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-09-20,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-09-21,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-09-22,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,1
2021-09-23,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-09-24,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-09-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-09-28,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-09-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-09-30,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-10-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-10-04,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-10-05,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-10-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-10-07,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-10-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-10-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
